label,source,target
dcba-dacb,1ba,1ca
abcd-acdb,1bc,1bd
abcd-cabd,1bc,1ac
abcd-cadb,1bc,1ac
abcd-cadb,1bc,1bd
abcd-cdab,1bc,1ac
abcd-cdab,1bc,1bd
abcd-cdba,1bc,1bd
abcd-dcab,1bc,1ac
abdc-cabd,1bc,1ac
abdc-cadb,1bc,1ac
abdc-cdab,1bc,1ac
abdc-dcab,1bc,1ac
acdb-abcd,2bc,2bd
acdb-adbc,2bc,2dc
acdb-bacd,2bc,2bd
acdb-bcad,2bc,2bd
acdb-bcda,2bc,2bd
acdb-dabc,2bc,2dc
acdb-dbac,2bc,2dc
acdb-dbca,2bc,2dc
adbc-acdb,1bc,1dc
adbc-cabd,1bc,1ac
adbc-cadb,1bc,1ac
adbc-cadb,1bc,1dc
adbc-cdab,1bc,1ac
adbc-cdab,1bc,1dc
adbc-cdba,1bc,1dc
adbc-dcab,1bc,1ac
bacd-acdb,1bc,1bd
bacd-cadb,1bc,1bd
bacd-cdab,1bc,1bd
bacd-cdba,1bc,1bd
bcad-acdb,1bc,1bd
bcad-cabd,1bc,1ba
bcad-cadb,1bc,1ba
bcad-cadb,1bc,1bd
bcad-cdab,1bc,1ba
bcad-cdab,1bc,1bd
bcad-cdba,1bc,1bd
bcad-dcab,1bc,1ba
bcda-acdb,1bc,1bd
bcda-cabd,1bc,1ba
bcda-cadb,1bc,1ba
bcda-cadb,1bc,1bd
bcda-cdab,1bc,1ba
bcda-cdab,1bc,1bd
bcda-cdba,1bc,1bd
bcda-dcab,1bc,1ba
bdca-cabd,1bc,1ba
bdca-cadb,1bc,1ba
bdca-cdab,1bc,1ba
bdca-dcab,1bc,1ba
cabd-abcd,2bc,2ac
cabd-abdc,2bc,2ac
cabd-adbc,2bc,2ac
cabd-bcad,2bc,2ba
cabd-bcda,2bc,2ba
cabd-bdca,2bc,2ba
cabd-dabc,2bc,2ac
cabd-dbca,2bc,2ba
cadb-abcd,2bc,2ac
cadb-abcd,2bc,2bd
cadb-abdc,2bc,2ac
cadb-adbc,2bc,2ac
cadb-adbc,2bc,2dc
cadb-bacd,2bc,2bd
cadb-bcad,2bc,2ba
cadb-bcad,2bc,2bd
cadb-bcda,2bc,2ba
cadb-bcda,2bc,2bd
cadb-bdca,2bc,2ba
cadb-dabc,2bc,2ac
cadb-dabc,2bc,2dc
cadb-dbac,2bc,2dc
cadb-dbca,2bc,2ba
cadb-dbca,2bc,2dc
cdab-abcd,2bc,2ac
cdab-abcd,2bc,2bd
cdab-abdc,2bc,2ac
cdab-adbc,2bc,2ac
cdab-adbc,2bc,2dc
cdab-bacd,2bc,2bd
cdab-bcad,2bc,2ba
cdab-bcad,2bc,2bd
cdab-bcda,2bc,2ba
cdab-bcda,2bc,2bd
cdab-bdca,2bc,2ba
cdab-dabc,2bc,2ac
cdab-dabc,2bc,2dc
cdab-dbac,2bc,2dc
cdab-dbca,2bc,2ba
cdab-dbca,2bc,2dc
cdba-abcd,2bc,2bd
cdba-adbc,2bc,2dc
cdba-bacd,2bc,2bd
cdba-bcad,2bc,2bd
cdba-bcda,2bc,2bd
cdba-dabc,2bc,2dc
cdba-dbac,2bc,2dc
cdba-dbca,2bc,2dc
dabc-acdb,1bc,1dc
dabc-cabd,1bc,1ac
dabc-cadb,1bc,1ac
dabc-cadb,1bc,1dc
dabc-cdab,1bc,1ac
dabc-cdab,1bc,1dc
dabc-cdba,1bc,1dc
dabc-dcab,1bc,1ac
dbac-acdb,1bc,1dc
dbac-cadb,1bc,1dc
dbac-cdab,1bc,1dc
dbac-cdba,1bc,1dc
dbca-acdb,1bc,1dc
dbca-cabd,1bc,1ba
dbca-cadb,1bc,1ba
dbca-cadb,1bc,1dc
dbca-cdab,1bc,1ba
dbca-cdab,1bc,1dc
dbca-cdba,1bc,1dc
dbca-dcab,1bc,1ba
dcab-abcd,2bc,2ac
dcab-abdc,2bc,2ac
dcab-adbc,2bc,2ac
dcab-bcad,2bc,2ba
dcab-bcda,2bc,2ba
dcab-bdca,2bc,2ba
dcab-dabc,2bc,2ac
dcab-dbca,2bc,2ba
abcd-cdab,1bd,1ad
abcd-dabc,1bd,1ad
abcd-dacb,1bd,1ad
abcd-dcab,1bd,1ad
abdc-adcb,1bd,1bc
abdc-cdab,1bd,1ad
abdc-dabc,1bd,1ad
